             A            |             B            |      OPCODE      |          OUTPUT          | Next State |
--------------------------+--------------------------+------------------+--------------------------+------------|
 0010010100001010 ( 9482) | 1010010000001110 (41998) |  0000   (   AND) | 0010010000001010 ( 9226) |    Ready   |
 0000000000000000 (    0) | 0000000000000000 (    0) |  1111   ( Clear) | 0000000000000000 (    0) |    Ready   |
 0010010100001010 ( 9482) | 1010010000001110 (41998) |  0001   (    OR) | 1010010100001110 (42254) |    Ready   |
 0000000000000000 (    0) | 0000000000000000 (    0) |  1111   ( Clear) | 0000000000000000 (    0) |    Ready   |
 0010010100001010 ( 9482) | 1010010000001110 (41998) |  0101   (   NOR) | 0101101011110001 (23281) |    Ready   |
 0000000000000000 (    0) | 0000000000000000 (    0) |  1111   ( Clear) | 0000000000000000 (    0) |    Ready   |
 0000111100001111 ( 3855) | xxxxxxxxxxxxxxxx (    x) |  0010   (   NOT) | 1111000011110000 (61680) |    Ready   |
 0000000000000000 (    0) | 0000000000000000 (    0) |  1111   ( Clear) | 0000000000000000 (    0) |    Ready   |
 0010010100001010 ( 9482) | 1010010000001110 (41998) |  0011   (   XOR) | 1000000100000100 (33028) |    Ready   |
 0000000000000000 (    0) | 0000000000000000 (    0) |  1111   ( Clear) | 0000000000000000 (    0) |    Ready   |
 0010010100001010 ( 9482) | 1010010000001110 (41998) |  0100   (  NAND) | 1101101111110101 (56309) |    Ready   |
 0000000000000000 (    0) | 0000000000000000 (    0) |  1111   ( Clear) | 0000000000000000 (    0) |    Ready   |
 0010010100001010 ( 9482) | 1010010000001110 (41998) |  0110   (  XNOR) | 0111111011111011 (32507) |    Ready   |
 0000000000000000 (    0) | 0000000000000000 (    0) |  1111   ( Clear) | 0000000000000000 (    0) |    Ready   |
 1100111001100111 (52839) | xxxxxxxxxxxxxxxx (    x) |  1010   (ShiftR) | 0110011100110011 (26419) |    Ready   |
 0000000000000000 (    0) | 0000000000000000 (    0) |  1111   ( Clear) | 0000000000000000 (    0) |    Ready   |
 1100111001100111 (52839) | xxxxxxxxxxxxxxxx (    x) |  1011   (ShiftL) | 1001110011001110 (40142) |    Ready   |
 0000000000000000 (    0) | 0000000000000000 (    0) |  1111   ( Clear) | 0000000000000000 (    0) |    Ready   |
 0000000000011110 (   30) | 0000000000000111 (    7) |  1000   (   Add) | 0000000000100101 (   37) |    Ready   |
 0000000000000000 (    0) | 0000000000000000 (    0) |  1111   ( Clear) | 0000000000000000 (    0) |    Ready   |
 1011110001000000 (48192) | 1001110001000000 (40000) |  1000   (   Add) | 0101100010000000 (22656) |    ERROR   |
 0000000000000000 (    0) | 0000000000000000 (    0) |  1111   ( Clear) | 0000000000000000 (    0) |    Ready   |
 0000000000000111 (    7) | 0000000000011110 (   30) |  1001   (   Sub) | 1111111111101001 (65513) |    ERROR   |
 0000000000000000 (    0) | 0000000000000000 (    0) |  1111   ( Clear) | 0000000000000000 (    0) |    Ready   |
 0000000000011110 (   30) | 0000000000000111 (    7) |  1001   (   Sub) | 0000000000010111 (   23) |    Ready   |
